"Stotelės Nr.","Pavadinimas","Lng","Lat"
"2129","Verkių rūmai","25.29645","54.75236"
"2130","Ežerėliai","25.30666","54.76131"
"2131","Maumedžių st.","25.26436","54.74065"
"2132","Maumedžių st.","25.26437","54.74108"
"2133","Chemijos institutas","25.26385","54.75385"
"2134","Muzikų st.","25.28157","54.75921"
"2135","Muzikų st.","25.28103","54.75832"
"2136","Santariškių žiedas","25.28252","54.76359"
"2137","Santariškių žiedas","25.28215","54.7637"
"2138","Vaikų ligoninė","25.28054","54.75551"
"2139","Mokyklos st.","25.26336","54.74434"
"2140","Mokyklos st.","25.26295","54.74341"
"2141","Akademijos st.","25.27239","54.75263"
"2142","Akademijos st.","25.26868","54.75309"
"2143","Akademijos st.","25.27025","54.75391"
"2144","Akademijos st.","25.26838","54.75352"
"2145","Geležinio Vilko st.","25.27172","54.75677"
"2146","Geležinio Vilko st.","25.27238","54.75765"
"2147","Vaikų ligoninė","25.28085","54.75613"
"2148","Bajorai","25.23716","54.75674"
"2149","Mokslininkų st.","25.2493","54.75454"
"2150","Mokslininkų st.","25.24977","54.75445"
"2151","Mergelės st.","25.23851","54.75645"
"2152","Riaubonių st.","25.23294","54.75526"
"2153","Daubų st.","25.23133","54.7573"
"2154","Bajorų miškas","25.24233","54.75633"
"2155","Bajorų miškas","25.2425","54.75626"
"2156","Vaikų ligoninė (išlaipinama)","25.28088","54.75524"
"2201","Ežerėliai","25.31018","54.76255"
"2202","Naujieji Verkiai","25.33217","54.75984"
"2204","Vaikų darželis","25.33591","54.76306"
"2205","Vaikų darželis","25.33563","54.76256"
"2206","Kremplių st.","25.33586","54.76698"
"2207","Kremplių st.","25.33566","54.76725"
"2208","Popieriaus st.","25.33202","54.76987"
"2209","Popieriaus st.","25.33261","54.76996"
"2210","Kurklių st.","25.3265","54.77002"
"2211","Kurklių st.","25.32744","54.77033"
"2212","Verkių Riešė","25.33699","54.77695"
"2213","Verkių Riešė","25.33811","54.77739"
"2214","Staviškės","25.35162","54.76345"
"2215","Staviškės","25.35276","54.76398"
"2216","Ožkiniai","25.36011","54.76706"
"2217","Ožkiniai","25.3615","54.76718"
"2218","Ožkinių žiedas","25.36646","54.76844"
"2219","Ragučio st.","25.34204","54.78026"
"2220","Ragučio st.","25.34263","54.78076"
"2222","Balsiai","25.34779","54.78595"
"2223","Kryžiokai","25.35118","54.79219"
"2224","Naujoji st.","25.34632","54.76332"
"2225","Naujoji st.","25.34598","54.76349"
